Exercise Three: Create your comparison statements 1,Exercise Three: Create your comparison statements 2,Exercise Three: Create your comparison statements 3,Exercise Three: Create your comparison statements 4,Exercise Three: Create your comparison statements 5,Exercise Three: Create your comparison statements 6,Exercise Three: Create your comparison statements 7,Exercise Three: Create your comparison statements 8,Exercise Three: Create your comparison statements 9,Exercise Three: Create your comparison statements 10,Exercise Three: Create your comparison statements 11,Exercise Three: Create your comparison statements 12,Exercise Three: Create your comparison statements 13,Exercise Three: Create your comparison statements 14
Shark Tank|The Great British Bake Off,,,,,,,,,,,,,
A24|Disney,,,,,,,,,,,,,
housing|shelter,together|alone,united|independent,,,,,,,,,,,
Chick Fil A|Taco Bell,Tucker Carlson|Jake Tapper,,,,,,,,,,,,
sparkle then bleak|,,,,,,,,,,,,,
legacy than innovation|,,,,,,,,,,,,,
Trader Joe's|Whole Foods,,,,,,,,,,,,,
George Clooney|Kim Kardashian,Governor Newsom|Donald Trump,Bill Gates|Elon Musk,SF|LA,Microsoft|Apple,Federal Reserve|Chase,AMEX|Visa,|,,,,,,
chick a fil|Ruth Chris,,,,,,,,,,,,,
More Toyota than BMW|,,,,,,,,,,,,,
NH&RA|Housing CA,,,,,,,,,,,,,
pizza|pate,sunflowers|orchids,Oceanside|Coronado,,,,,,,,,,,
Tesla|Bentley,Wrangler|Gucci,,,,,,,,,,,,
Dreamers|Fantasy Land,Chevy|BMW,,,,,,,,,,,,
Not|sure,,,,,,,,,,,,,
Apple|Google,Subaru|Tesla,NATO|United Nations,,,,,,,,,,,
We are more low-rent than penthouse|,,,,,,,,,,,,,
Ford|Tesla,Callaway Callaway|Tommy Bahama,,,,,,,,,,,,
honda|mercedes,,,,,,,,,,,,,
Peet's Coffee|Starbucks,,,,,,,,,,,,,
Apple than Congress|,,,,,,,,,,,,,
Johnny Cash|Chappell Roan,,,,,,,,,,,,,
Gap|Nordstrom,,,,,,,,,,,,,
CCAH is more than Sacramento|,,,,,,,,,,,,,
Macy's|WalMart,State Fair|County Fair,,,,,,,,,,,,
Dull|Shine,,,,,,,,,,,,,
Audi|Mercedes,Longines|Rolex,,,,,,,,,,,,
Nimble|Bureaucratic,Toyota|Cadillac,Republican|Democrat,,,,,,,,,,,
California builders association|Housing California,,,,,,,,,,,,,
Humble|Flashy,,,,,,,,,,,,,
Schooner|Large Yachts,Barbecue|Gala,,,,,,,,,,,,
Chevy|Lexus,,,,,,,,,,,,,
We want more Nvidia than Intel|,,,,,,,,,,,,,
Greystar that Habiant for Humanity|,,,,,,,,,,,,,
Creative|Boring,Inspiring|Dismissive,Encouraging|Restrictive,,,,,,,,,,,
Need|Want,Solution|Problem,|,,,,,,,,,,,
bmw|ferarri,disney|dollywood,apple|android,marriage counselor|lawyer,new york times|wall street journal,mary ann|ginger,,,,,,,,
Knowledgeable|the dictionary,,,,,,,,,,,,,
Costco|Whole Foods,Ribeye|Waygu,Beer|Wine,,,,,,,,,,,
Ikea|Williams Sonoma,,,,,,,,,,,,,
